sentence,sentiment,sentiment_encoded
"on the route between helsinki in finland and tallinn in estonia , cargo volumes increased by 36 % , while cargo volumes between finland and sweden fell by 9 % .",neutral,1
"irish said chasing standard chartered, rbs as brexit vote nears",positive,2
"helsinki on october 22 , 2008 ssh communications security corp board of directors for further information , please contact : tomi laamanen , chairman , tel. +358 0 400 609 544 distribution : nasdaq omx helsinki ltd. .",neutral,1
"$yoku high volume blast off friday, goes higher  http://stks.co/qsal",positive,2
"kemira , headquartered in helsinki , finland , is an international chemicals group comprising the business areas kemira pulp & paper , kemira water , kemira specialty and kemira coatings .",neutral,1
"chic and cheerful , finnish design house marimekko has been sending its geometric textiles out into the world for the past 60 years .",neutral,1
"the recovery of demand that started toward the end of 2009 , continued in january-march 2010 .",positive,2
comparable operating profit decreased to eur 13.8 mn from eur 17.1 mn in the corresponding period in 2005 .,neutral,1
"guangdong , october 26 , sinocast -- nokia telecommunications dongguan branch entered into a letter of intent to open a nokia class in qingyuan polytechnic , qingyuan city of guangdong province .",neutral,1
"the company can not give up palm oil altogether , however .",neutral,1
"in 2007 , the group 's net sales stood at eur 22 million and it had about 150 employees at the end of june , 2008 .",neutral,1
`` marimekko operates in an industry in which changes in the business climate are reflected in consumer demand .,neutral,1
u.s. debt lures schroders as ecb depresses rates,neutral,1
"outotec is currently delivering a new oil shale processing plant for eesti energia in estonia based on enefit technology , which has been developed jointly by eesti energia and outotec .",neutral,1
the eps outlook was increased by 5.6 pct for 2007 and 7.0 pct for 2008 .,positive,2
the company has some 410 employees and an annual turnover of eur65 .4 m. vaahto group is listed on the nordic exchange in helsinki .,neutral,1
"$dpz broke out now of his bull flag channel and make new highs, but volume is very poor",positive,2
"$amzn rejected that 604 to the penny. weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58teaexxpe",negative,0
this $bbby stock options trade would have more than doubled your money https://t.co/oa0loirijl via @thestreet,positive,2
"pretax loss totaled eur 1.2 mn , down from a profit of eur 2.1 mn in 2004 .",negative,0
#tesla model s deliveries are up 35% in germany - record deliveries in march [chart] https://t.co/ycnclcbimv  $tsla,positive,2
operating profit of the asian plants grew markedly .,positive,2
"the prosecutor is also demanding outokumpu pay a fine of eur 800,000 at most .",negative,0
"konecranes has previously communicated an estimated reduction of about 1,600 employees on group level in 2009 .",negative,0
the oulu plant employs approximately 120 people .,neutral,1
at 9:00 eet alma media 's annual report for 2009 is scheduled to be published in calendar week 9 .,neutral,1
"scopi chief business excellence officer , eng .",neutral,1
"the share capital of basware corporation is 11,720,829 .",neutral,1
new morrisons duo get former boss's support to diffuse investor tension,positive,2
the order also includes start-up and commissioning services .,neutral,1
"`` upm 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' chief executive jussi pesonen said .",positive,2
outokumpu 's chief executive juha rantanen expressed his confidence in china market .,positive,2
mr k.r. vasantha has been appointed managing director of incap contract manufacturing services pvt. ltd. .,neutral,1
"the company is in charge of all natural gas storage activities in france , great britain , and germany .",neutral,1
this solution is an extension to the existing online mediation solution delivered earlier by comptel and ibm .,neutral,1
"with the u.s. federal government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",neutral,1
"finnish construction company yit corporation is planning to build about 200 high-quality holiday homes near the tahko ski and spa resort , in finland .",positive,2
"operating profit totaled eur 6.7 mn , down from eur 7.2 mn in the corresponding period in 2005 .",neutral,1
the third order awarded to outokumpu technology is by shalkiya zinc of kazakhstan for the shalkiya zinc-lead project in kazakhstan .,positive,2
"in june it sold a 30 percent stake to nordstjernan , and the investment group has now taken up the option to acquire eqt 's remaining shares .",neutral,1
"tiimari latvian representative ineta zaharova said that the company earned lvl 122,000 in 2005 profit , which is 20 times more that in 2004 .",positive,2
"operating profit fell to eur 35.4 mn from eur 68.8 mn in 2007 , including vessel sales gain of eur 12.3 mn .",negative,0
$smh got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,negative,0
the negotiations concern 246 salaried and senior salaried employees and are scheduled to be completed in six weeks .,neutral,1
the production is to be liquidated before june 2009 and 325 employees loose their jobs .,negative,0
"adp news - may 29 , 2009 - bank of america bofa downgraded today its ratings on swedish-finnish paper maker stora enso oyj hel : sterv and on finnish sector player upm-kymmene oyj hel : upm1v to `` underperf",neutral,1
deutsche bank downgrades starbucks because of new loyalty program https://t.co/iy4lcugabc $sbux,negative,0
"operating profit , excluding non-recurring items , totalled eur 1.0 mn , down from eur 1.6 mn .",neutral,1
"the company said offshore segment represented 43 % of the total marine engines orders for the july-september 2010 period , merchant 33 % , special vessels 18 % , and cruise and ferry , and ship design -- 2 % and 3 % , respectively .",neutral,1
"finnish vaahto group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in hollola and tampere , in finland .",neutral,1
"according to finnish petrol station chain st1 's managing director kim wiio , the company was forced to make purchases with rising prices in the first half of 2008 , and now consumer prices are going down almost daily due to competition .",negative,0
a filter is used to pre-process packets to determine if they need to be further processed by the processor of the network device .,neutral,1
"altona stated that the private company of altona chairman kevin maloney , tulla resources , would take up its entitlement in full .",neutral,1
"however , net sales in 2010 are seen to have grown to eur598 .3 m from eur582 .3 m in 2009 .",positive,2
"the dutch broker noted that nokian tyres reported a good first quarter in 2006 , above or in line with consensus .",positive,2
"okhta center area is expected to have about 700,000 square metres of office premises by 2016 .",neutral,1
operating profit improved to eur 20.3 mn from eur 11.4 mn .,positive,2
stores 16 march 2010 - finnish stationery and gift retailer tiimari hel : tii1v said yesterday that it will cut a total of 28 jobs in its units tiimari retail ltd and gallerix finland ltd as a result of the closure of shops .,negative,0
the transaction is expected to be completed next spring .,neutral,1
the company expects its net sales for the whole 2009 to remain below the 2008 level .,neutral,1
"both operating profit and net sales for the 12-month period increased , respectively from eur21 .5 m and eur196 .1 m , as compared to 2005 .",positive,2
"the company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,1
customers in a wide range of industries use our stainless steel and services worldwide .,neutral,1
"the total number of voting rights is 74,612,523 .",neutral,1
"mr bakman sees also expansion options on the tallinn-helisnki link , claiming however , that operating the link with only a single ship is not enough .",neutral,1
$zagg getting ready...target $15 plus on a close over $13.50 on better than avg daily volume http://chart.ly/lha44tn,positive,2
"the finnish national carrier said net loss in april through june was euro26 million , down from a net profit of euro13 million a year earlier .",negative,0
"the eu commission said earlier it had fined thyssenkrupp , united technologies corp 's otis , schindler ag and kone oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",negative,0
recently the company decided to build a second identical plant at the same site due to be commissioned toward the end of 2008 .,neutral,1
for @vnoto74 to follow:  after a sell signal by $ndx internals [06/23] ~> technical sell $qqq [06/25] ~> down,negative,0
talentum 's net sales in september were smaller than expected .,neutral,1
"india 's trade with russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,2
an eu law on the issue may be introduced around 2010 .,neutral,1
$bioc rsi extremely in long's favor looking at bioc historically.,positive,2
"consolidated operating profit excluding one-off items was eur 30.6 mn , up from eur 29.6 mn a year earlier .",positive,2
a broad range of connectivity options including 3g - hspa and wi-fi gives consumers high speed access to the internet .,neutral,1
"seven-month sales of ragutis , which is controlled by the finnish brewery olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .",neutral,1
"its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",neutral,1
$yhoo about to break out on the 5-min...,positive,2
"digia will also set up two subsidiaries , digia norway as and digia usa inc. .",neutral,1
"the contract also includes cutting and edging wagon parts at ruukki 's steel service centres in seinajoki and raahe , from where they will be delivered to vr for welding and assembly .",neutral,1
ab inbev attacks sabmiller bid rebuffal,negative,0
"efficiency improvement measures 20 january 2010 - finnish stationery and gift retailer tiimari hel : tii1v said today that it will continue to improve its operational efficiency , by focusing on its profitable core operations .",positive,2
"it operates under three distinct brands : united supermarkets , market street and united supermercado .",neutral,1
earnings per share ( eps ) amounted to a loss of to eur0 .06 .,negative,0
"the business had gross written premiums of eur152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the uk , germany and benelux .",neutral,1
"alexandria , va. , may 23 -- matti harkonen and pentti sipponen , both of espoo , finland , osmo suovaniemi of helsinki , finland , and tapani tiusanen of vantaa , finland , have developed a paper web press device .",neutral,1
"customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",neutral,1
$bbry nice bounce,positive,2
"however , in march 2009 , the government of st. petersburg passed the front part of the building with the area 1,900 square metres and a land plot for a hotel worth usd 10-15mn to the company delta .",neutral,1
pharmaceutical market in belgium global research & data services published recently a market analysis about the pharmaceutical markets in belgium .,neutral,1
marimekko group 's full-year net sales are estimated to increase by about 10 % .,positive,2
her last position in nokia siemens networks was head of business human resources nsn global it .,neutral,1
wellness services will be important in the future .,neutral,1
teleste expects to start the deliveries at the end of 2009 .,neutral,1
"a total eur73 .7 m will be provided as secured senior three-year debt from the syndicate , involving pohjola bank hel : poh1s , the finnish arm of nordea bank ab sto : nda , and sampo bank hel : samas .",neutral,1
"as reported june 26 , `` both circuits continued to alternately report the track as vacant and then occupied almost constantly from june 17 , when part of the track signaling device was replaced , to the time of the crash , according to the metro source . ''",neutral,1
$jnk http://stks.co/2fcm does not want to go down... risk appetite still high,positive,2
"product coverage : baked goods ; biscuits ; breakfast cereals data coverage : market sizes historic and forecasts , company shares , brand shares and distribution data .",neutral,1
the closing of such transaction took place today .,neutral,1
astrazeneca diabetes drug combination faces delay after fda rebuff,negative,0
"the major part of the deliveries include different ac and cxe amplifier solutions and products by belgian dinh telecom , a broadband solutions company acquired by teleste in the spring of 2007 .",neutral,1
"following the registration , the share capital of biotie is eur 52,556,678.10 .",neutral,1
"meanwhile , alfa owns 25.1 % of megafon through altimo , and 4.99 % of turkcell via an 18.5 % stake in cukurova holding .",neutral,1
scanfil issued a profit warning on 10 april 2006 .,negative,0
the borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,positive,2
"the contract also includes cutting and edging wagon parts at ruukki 's steel service centres in seinajoki and raahe , both in southwestern finland , from where they will be delivered to vr for welding and assembly .",neutral,1
"the shopping center to be opened in st. petersburg , russia in november 2010 will turn the cash flow of finnish department store chain stockmann 's russian operations positive for the first time in 2011 .",positive,2
finnish investment company neomarkka is the main owner of kuitu finland 's successor .,neutral,1
"so far norwegian norske skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while finnish-swedish stora enso is to cut staff by 1,700 people and production by 500,000 tons .",neutral,1
$xlb the weakest sector this year and possible false breakout  http://stks.co/dl1z,negative,0
update 1-pearson expects to grow this year after solid end to 2014,positive,2
"upm-kymmene corp. , the world 's largest maker of magazine paper , on tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",neutral,1
"the company said that currently the french distribution unit ragot is located in loudeac , normandy , the distribution unit waterqueen and line supplier tortue in saint marcel in mid-france and the hook manufacturing unit vmc and hook distribution unit vmc europe in morvillars .",neutral,1
"neste oil corporation is a refining and marketing company concentrating on clean , high-quality traffic fuels .",neutral,1
$nflx easy pop to 500$ by end of feb.. then steady as she goes for 600 into second earnings report..800$ year end no matter what,positive,2
the company expects sales revenue of rmb8 .0 billion in 2009 .,neutral,1
$aria this is the reason why shorts don't show up...long steady small climbs. the best way to accrue value. imo,positive,2
"`` overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' stora spokeswoman patricia dietz said tuesday .",positive,2
as a result of the negotiations the employment of 130 blue - and white-collar employees at the oulu plant would be terminated .,negative,0
sales by seppala diminished by 6 per cent .,negative,0
the combined value of the orders is almost eur 3mn .,neutral,1
"stora enso said delight was suitable for a wide range of applications including food , cosmetics , home decoration and leisure products .",neutral,1
upm stock fell 3 percent to euro 12.49 $ 17.24 in early afternoon trading in helsinki .,negative,0
pharmaceutical market in netherlands global research & data services published recently a market analysis about the pharmaceutical markets in netherlands .,neutral,1
$pcln trying to break daily trend line! big move could happen https://t.co/gy0adb2jsq https://t.co/kpbbcgq2xy,positive,2
"fortum is looking to invest in several new production units , including a new waste-fired unit at its brista combined heat and power ( chp ) plant and a biofuels-based production unit at vartan chp plant .",neutral,1
breaking: tesla recalls all model x cars  .. details on show now $tsla,negative,0
bg group still happy with shell's $70 billion offer,positive,2
@acinvestorblog: $spy eod run :),positive,2
pharmaceuticals - netherlands this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in netherlands .,neutral,1
"production capacity will rise gradually from 170,000 tonnes to 215,000 tonnes .",positive,2
aviation systems maintenance is based in kansas and generated net sales of usd 2.6 million for 2008 .,neutral,1
the fixed acquisition price amounts to nok 70 ( approximately eur 8.7 ) million and additional price nok 15 ( eur 1.8 ) million at maximum .,neutral,1
tullow oil suspends dividend amid oil price fall,negative,0
"the store is located in poznan in a shopping center named pestka , the company added .",neutral,1
the total emissions reduction from 1999 to 2017 will be thus 41 % .,neutral,1
"finnair 's tallinn-based subsidiary , aero as , carried 23,335 passengers , a decline of 60.8 % , on routes between helsinki and the baltic capitals and within southern finland .",neutral,1
"rosendal at outotec.com eila paatela , vice president - corporate communications tel. +358 20 529 2004 , +358 400 817198 e-mail eila .",neutral,1
"under the agreement , larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in finland to etteplan as of january 1 , 2007 .",neutral,1
15 december 2010 - finnish-german telecoms equipment maker nokia siemens networks said today it won a contract to upgrade the radio network of home-based telecommunications company elisa oyj hel : eli1v .,positive,2
rt @acinvestorblog $aapl still on track for $500,positive,2
each year the dividend is deducted from the subscription price .,neutral,1
"in addition , the contract includes modification of the effluent treatment plant at follum .",neutral,1
"the omx helsinki 25 index was up 0.92 pct at 2,518.67 and the helsinki cap portfolio index was 0.91 pct higher at 4,711.19 .",positive,2
finnish sports equipment company amer sports said it has decided to lay off 370 workers from its salomon division in france .,negative,0
"tiimari 's registered share capital is 16,474,755 shares as per today .",neutral,1
"finnish plumbing and heating systems supplier uponor 's net sales in continuing business operations decreased to eur 249.1 mn in july-september 2008 , compared to eur 262.1 mn in the third quarter of 2007 .",negative,0
finnish aldata solution has signed a contract of supply its g.o.l.d. system to two french retail chains .,positive,2
"$yhoo fishy action. new party interested (dailymail) bounce & retreats. not short by any means, but action questions big up move. thoughts?",neutral,1
"the group owns and operates a fleet of more than 800dwt , while container capacity is 17,000 teus , and manages a diversified fleet of its own railway rolling stock of over 17,000 units .",neutral,1
$ctrp breaking out https://t.co/z2je3rtkch,positive,2
the repurchase of the bonds was executed in the open market in accordance with section 7 f of the terms and conditions of the convertible bonds .,neutral,1
$siga bid for reargument denied by judge,negative,0
unilever profit rises despite sales slump in china,positive,2
the site will cover over six hectares .,neutral,1
"$aapl at pivot area on intraday chart- break here could send this to 50-day sma, 457.80 http://stks.co/jpbn",positive,2
finnlines will announce in week 17 of 2006 what measures it will take to tackle the situation .,neutral,1
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it rt @totalguru we could possibly even see425 today $aapl,positive,2
rl-nordic is a part of raiffeisen-banking-group austria and is a subsidiary to raiffeisen-leasing gmbh in austria .,neutral,1
companieshoward davies appointment as rbs director delayed,neutral,1
loss after taxes amounted to eur 1.2 mn compared to a loss of 2.6 mn .,positive,2
$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,negative,0
`` our research shows that access to information technology has been one of the limiting factors for most small businesses especially when they work in a heterogenous network based environment .,neutral,1
the sale of the food potato business is part of raisio 's plan to streamline and clarify its business operations .,neutral,1
comparable operating profit decreased to eur 13.8 mn from eur 17.1 mn in the corresponding period in 2005 .,negative,0
$amgn and #ucb announce positive top-line results from ph3 study evaluating romosozumab in men... https://t.co/4hboudr8b8 via @yahoofinance,positive,2
finland-based international machinery rental company ramirent plc ( omx helsinki : rmr1v ) reported on friday ( 15 august ) an operating profit of eur65 .0 m on net sales of eur342 .9 m for the period january-june 2008 .,neutral,1
return on investment roi was 4.1 % compared to 43.8 % in the first half of 2008 .,neutral,1
"sampo bank 's market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",neutral,1
$bbry lets see 14+ today,positive,2
$vxx adding to position here !,positive,2
"cargotec 's sales totalled eur 3.4 billion in 2008 and it employs approximately 10,500 people .",neutral,1
auto trader share price surges as company floats on lse,positive,2
"we are very excited working with maxis on this first commercial deployment of ` master of maya ' , said joe doering , head of the asia south region at nokia siemens networks .",positive,2
"the pulp production in finnish kemij+ã±rvi will also be liquidated and about 1,100 employees loose their jobs .",neutral,1
okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative,0
an apple spokeswoman said the company declined to comment .,neutral,1
"we have also cut our price projections for paper and packaging , '' an analyst with goldman sachs said on a note on monday .",neutral,1
"furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",negative,0
dmasia-16 august 2006-benefon extends manufacturing capability with asmobile -â® 2006 digitalmediaasia.com & dma ltd. .,positive,2
"shares in royal and sun alliance continued to slide back from a 12-month high of 172p last month , after a potential suitor ruled itself out of a takeover bid .",neutral,1
$oil slid to a four-year low after #opec kept its oil production unchanged  http://stks.co/a1ix4 $uso $wti $brent,negative,0
update 5-barclays chairman mcfarlane axes ceo to speed up strategic change,negative,0
"sampo group that has become a major shareholder in nordea owns trygvesta 's main competitor , if p & c insurance .",neutral,1
the sale of the healthcare trade business supports oriola-kd 's strategy to focus on pharmaceutical wholesale and retail businesses .,positive,2
the value of the firm 's forestry holdings increased by sek 3.6 bn .,positive,2
"finland-based international machinery rental company ramirent plc ( omx helsinki : rmr1v ) said on friday ( 9 may ) that its president and ceo , kari kallio , has informed the board of his intention to retire in year 2009 .",neutral,1
"according to business media reports , usmanov planned to transfer his megafon stake to the state-controlled svyazinvest , in exchange for a stake in the merged rostelecom .",neutral,1
"our solutions are fully arabized , and our message is that we want to become the it partner of choice for businesses in the near-east region .",neutral,1
- i am pleased that bjorn wahlroos has accepted the nomination .,positive,2
"the product advisory does not apply to any other nokia-branded battery , the company said .",neutral,1
astrazeneca wins fda approval for key new lung cancer pill,positive,2
"i can say categorically , no , ' wahlroos was quoted as saying by the paper , when asked about sampo 's interest in making a bid for rsa .",neutral,1
"the end-to-end delivery combines the competencies and services from tietoenators telecom & media , processing & network and digital innovations business areas .",neutral,1
"long position on $ip,....scaling up http://stks.co/siln",positive,2
"$qcor a little pullback is fine but if this erases all of todays gains, i cannot believe the manipulation its capable of",negative,0
@technik i still have a smaller $gild pos. being very tender with cash due to volatility. so reluctant to keep many big positions.,positive,2
"the group 's turnover in 2006 was eur 39.2 million , and operating profit was eur 3.9 million .",neutral,1
"in addition to verification of an identity and digital signatures , new state-approved mobile id enables to cast votes in elections as well .",neutral,1
the loss for the third quarter of 2007 was eur 0.3 mn smaller than the loss of the second quarter of 2007 .,positive,2
customers include hotels and restaurants as well as wholesalers and some retailers .,neutral,1
"the construction of a large woodworking facility in the sheksna district of the vologda region , in northwest russia , will begin in 2009 , and the plant will start production in 2011 .",neutral,1
"result before taxes decreased to nearly eur 14.5 mn , compared to nearly eur 20mn in the previous accounting period .",neutral,1
the hack had been extra nefarious because the tweets activated without being clicked on - it was enough for web surfers to move their mouse cursors over them .,negative,0
the fair value of the company 's investment properties went down to eur 2.768 billion at the end of 2009 from eur 2.916 billion a year earlier .,negative,0
"london afx - uk and european brokers ' recommendations issued today , as collated by afx news from a range of market sources .",neutral,1
the agreement includes the entire process of managing mercator 's supply chain in all regions where the company is currently present .,neutral,1
"while the company did not indicate the level of investment in the unit , it said that has purchased the equipment of nokia corporation 's mobile phone r&d laboratory in jyvaeskylae .",neutral,1
pharmaceuticals - czech republic this brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in czech republic .,neutral,1
$save long. https://t.co/yejus9cmlc,positive,2
sales in finland rose by 3.9 % and international growth was 0.7 % .,positive,2
mylan appoints ranjan ray chaudhuri as global commercial lead for mylan's over ...,neutral,1
our superior customer centricity and expertise in digital services set us apart from our competitors .,positive,2
"and the broker repeated its ` buy ' rating , based on expectations that current restructuring will lead to a clear improvement in performance in europe in 2007 .",positive,2
unit costs for flight operations fell by 6.4 percent .,positive,2
"as a part of the plan , the board of directors decided to transfer a maximum of 330,000 shares held by the company in a share issue against payment directed to aspo management oy , a holding company acquired by the management .",neutral,1
the contract is for next year .,neutral,1
"`` with this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive,2
finnish technology company raute corporation ( omx helsinki : rutav ) issued on tuesday ( 23 september ) a profit warning for the financial year 2008 .,negative,0
helsinki afx - outokumpu technology said it has signed a 3.5 mln eur agreement with mongolia 's erdenet mining corporation for the engineering of the first hydrocopper plant to be built at the erdenet mine site .,positive,2
ab inbev looks to win over sabmiller investors,positive,2
the company 's net sales in 2010 totalled meur 311.4 with an operating margin of 13.9 per cent .,neutral,1
"finnish scanfil , a contract manufacturer and systems supplier for communication and industrial electronics reports net sales of eur 108.7 mn in the first half of 2008 , down from eur 111.1 mn a year earlier .",neutral,1
"the eu commission said earlier it had fined thyssenkrupp , united technologies corp 's otis , schindler ag and kone oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years .",neutral,1
astrazeneca to pay inovio up to $700 million for cancer drug,positive,2
the full midnighttrader extended-hours trading analysis and news service is available in real-time through comtex .,neutral,1
"at some point in 2010 , all separate company names , such as palmberg , tekmanni , lemcon , forssan betoni , suonenjoen betonituote , among others , will disappear .",neutral,1
"in 2007 , almost two thirds of orion 's net sales came from these drugs .",neutral,1
"incap contract manufacturing services pvt ltd , a subsidiary of incap corporation of finland , is acquiring the manufacturing unit of the tvs electronic ltd at tumkur , near bangalore , for rs40 crore .",neutral,1
"the 19,200-square metre technology center is located near university of tampere in central tampere .",neutral,1
earnings per share eps in 2005 amounted to a loss of eur1 .26 .,neutral,1
the duration of the lay-offs per employee will vary from one to six weeks .,neutral,1
"ruukki 's delivery volumes and selling prices showed favourable development and the company 's comparable net sales grew by 50 % year-on-year to eur647m , ceo sakari tamminen said .",positive,2
"it generated an operating loss of eur 96.3 mn , down from a profit of eur 43.9 mn .",neutral,1
"helsinki ( thomson financial ) - kone said it has won four orders in saudi arabia , united arab emirates and qatar worth 40 mln eur .",positive,2
"apart from nordea , also ergo is competing for the position among the top three pension funds providers in estonia .",neutral,1
"`` over the years , the color orange has become synonymous with quality .",neutral,1
"in the reporting period , eps stood at eur0 .07 versus eur0 .11 .",negative,0
estimations indicate that even up to 170 different tablet computers or reading devices will be available in 2011 .,neutral,1
"tesla recalling 2,700 model x units, related to faulty latch for third-row seats; fall to $252.50 level on recall, shares up 1%  $tsla",negative,0
johnson matthey revs up on clean air drive,positive,2
"music is provided by all major international and regional labels including universal music group , sony music entertainment , warner music , emi music , rotana , mazzika , melody music , platinum records , and leading content aggregator the orchard , as well as thousands of independent labels .",neutral,1
"the approximately 20,000 dwt vessel has been ordered from india .",neutral,1
finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million us$ 3 million .,neutral,1
"honkarakenne 's customer in this project is one of the biggest real estate companies in kazakhstan , according to the company .",neutral,1
the dividend will come on top of the 0.45 eur on a shares and 0.43 on k shares it has already paid on last year 's accounts .,neutral,1
"( adp news ) - feb 9 , 2009 - finnish computer services company proha oyj ( hel : art1v ) said today its net loss narrowed to eur 113,000 ( usd 146,000 ) for 2008 from eur 1.2 million for 2007 .",positive,2
"update 1-sabmiller 2nd-quarter underlying sales rise, forex impacts margins",neutral,1
finnish raute precision has won large glass batch plant and mortar plant orders from mexico and the us .,positive,2
"for 2009 , net profit was eur 3 million and the company paid a dividend of eur 1.30 apiece .",neutral,1
the category was marked by maturity and the recession .,neutral,1
"went long on this $cog, will see 70's again me thinks",positive,2
the company slipped to an operating loss of eur 2.6 million from a profit of eur 1.3 million .,neutral,1
"the company serves customers in various industries , including process and resources , industrial machinery , architecture , building , construction , electrical , transportation , electronics , chemical , petrochemical , energy , and information technology , as well as catering and households .",neutral,1
"estonia 's agriculture minister helir-valdor seeder is in finland on a two-day visit , in the course of which he will meet with his finnish counterpart sirkka-liisa anttila .",neutral,1
changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and grc fabrication process .,neutral,1
"the company is also seeking possibilities to relocate the luumaki personnel , some 50 people , to other upm mills .",neutral,1
the company said that it has started to investigate streamlining its operations in order to meet the tightening competition on the mobile phone charger market .,positive,2
"finnish holding company panostaja oyj said on june 12 , 2007 it has signed a letter of intent to acquire local lahden lampokasittely oy and heatmasters oy , active in the heat treatment of metals , for a total 3.1 mln euro ( $ 4.1 mln ) .",neutral,1
companiesdiageo stays neutral on india boardroom turmoil,neutral,1
ge to sell majority stake in bank bph's core bank to alior bank,positive,2
the company will be part of teleste 's video and broadband solutions business area .,neutral,1
"tampere science parks is a finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",neutral,1
"net sales surged by 18.5 % to eur167 .8 m. teleste said that eur20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",positive,2
"2009 3 february 2010 - finland-based steel maker rautaruukki oyj ( hel : rtrks ) , or ruukki , said today it slipped to a larger-than-expected pretax loss of eur46m in the fourth quarter of 2009 from a year-earlier profit of eur45m .",neutral,1
"the subsidiary will be responsible for filter sales , local assembly of filters and after market services in china .",neutral,1
finnish consumers prefer to buy the cheapest beer brand .,neutral,1
"a maximum of 20 employees , who work in karttakeskus and are responsible for producing geographic information services , will be affected , the company added .",neutral,1
"`` we are happy to be working with rapala to encourage boaters and anglers to introduce newcomers to the sport , '' said rbff president & ceo frank peterson .",positive,2
"with the government exempting certain stainless steel products from anti-dumping duties , finland-based outokumpu today said it will look to enter into supply pacts with the indian railways soon .",neutral,1
"$ssys just re-tested lows . should rise steadily from here. it hit $81 just 21 trading days ago, and $130.86 on sept 18. it'll do it again.",positive,2
"profit before taxes decreased by 9 % to eur 187.8 mn in the first nine months of 2008 , compared to eur 207.1 mn a year earlier .",negative,0
"this implementation is very important to the operator , since it is about to launch its fixed-to-mobile convergence service in brazil see brazil : 8 may 2006 : .",neutral,1
"finnish shipping company finnlines ' pretax loss totalled eur 6.5 mn in the third quarter of 2009 , compared to a profit of eur 0.3 mn in the third quarter of 2008 .",negative,0
"net sales will , however , increase from 2005 .",positive,2
"one of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard , company said in a statement received by lesprom network .",neutral,1
"after the transaction , m-real will own 30 % in metsa-botnia and upm -- 17 % .",neutral,1
"jan. 6 -- ford is struggling in the face of slowing truck and suv sales and a surfeit of up-to-date , gotta-have cars .",negative,0
"markets had been expecting a poor performance , and the company 's stock was up 6 percent at  x20ac 23.89 us$ 33.84 in early afternoon trading in helsinki .",positive,2
"citigroup , inc nyse : c , deutsche bank nyse : db and pohjola bank are lead managers for the sale .",neutral,1
"comparable operating profit totaled eur 854mn , up from eur 730mn in 2004 .",positive,2
"in finland , sampo bank , now part of the danske bank group , will lay off staff from the administrative and support functions .",neutral,1
"following the issue , the number of shares in the swedish company will grow by 9 % .",neutral,1
its market share is 6 percent according to ac nielsen 's 2008 data .,neutral,1
naturalgas settles at 3-year low $dbo $bno  http://stks.co/d27qx,negative,0
"the company 's net profit amounted to ee 55.5 mn , which was 36 % more than in 2004 .",positive,2
no financial details were disclosed .,neutral,1
"profit per share was eur 1.03 , up from eur 0.87 .",positive,2
"aldata solution oyj bertrand sciard president and ceo further information : aldata solution oyj , bertrand sciard , president and ceo , tel. +33 1 46 48 28 00 aldata 100 % retail-wholesale at aldata 100 % of our business is dedicated to retail and wholesale business improvement .",neutral,1
"the joint venture will invest about eur 500,000 in production technology straight away .",neutral,1
"juhani j+ã±rvi , corporate executive vice president of kesko , says the russian food retail sector is fragmented .",neutral,1
